Order ID,ProductID,Quantity,Order Date
1,1,2,01-15-2023
2,2,5,01-15-2023
3,3,1,01-16-2023
4,4,3,01-16-2023
5,5,4,01-17-2023
6,1,1,01-17-2023
7,2,2,01-18-2023
8,6,1,01-19-2023
9,7,2,01-19-2023
10,8,5,01-20-2023
11,9,3,01-20-2023
12,10,1,01-21-2023
13,11,2,01-21-2023
14,12,1,01-22-2023
15,13,3,01-22-2023
16,14,1,01-23-2023
17,15,4,01-23-2023
18,16,2,01-24-2023
19,17,3,01-25-2023
20,18,2,01-25-2023
21,19,4,01-26-2023
22,20,2,01-26-2023
23,21,1,01-27-2023
24,22,2,01-27-2023
25,23,3,01-28-2023
26,24,1,01-28-2023
27,25,1,01-29-2023
28,26,1,01-29-2023
29,27,1,01-30-2023
